Row_Number,Product_Name,Base_terms,terms,En_Taxonomic,Desc,Package_One,Pakage_One_kg,Have_Other_Package,Type_of_supply,Country,Brand,Brand_En,Price_Level,cash_price,credit_price,Price_Type,Percend,SKU
21,نخود سه خان کرمانشاه کیسه شیشه ایی,نخود,نخود,chickpeas ,"نخود سه خان کرمانشاه نخودی است که عمدتا دارای نخود های سایز 7 با درصد تقریبا 30 در صد و 70 درصد بالای 8 و 9 می باشد. این نخود با وجود فرآیند بوجاری ، ضایعات خارجی آن از جمله سنگ و چوب و بخشی از کلوخ آن گرفته می شود و این آفات به حداقل رسیده و همچنین و سایز های ریز تر از  7 و یا بعضا ریز تر از 7.5 آن نیز جدا می شود.",25 کیلویی,25,0,داخلی,ایران,برند معتبر,trusted_brand,175,"1,750,000","1,837,500",قیمت کیلویی,5,
22,نخود دو خان کرمانشاه کیسه شیشه ایی,نخود,نخود,chickpeas ,"نخود دو خان کرمانشاه نخودی است که سایز زیر سرند 8 آن زیر 5 درصد باشد و مابقی بالای 8 و 9 و 10 باشد. نخود دو خان کرمانشاه نخود با وجود فرآیند بوجاری ، با گرفتن ضایعات خارجی آن از جمله سنگ و چوب و بخشی از کلوخ آن پاک شده وبه حداقل می رسد و سایز های ریز تر از  7 و یا بعضا سرند 7.5 آن نیز جدا می شود. بالطبع هرچه سایز درشت آن یعنی 9 و 10 آن بیشتر باشد مرغوبیت بالاتری دارد.",25 کیلویی,25,0,داخلی,ایران,برند معتبر,trusted_brand,185,"1,850,000","1,942,500",قیمت کیلویی,5,
27,لپه آذر شهر (نخود هندی),لپه,لپه آذر شهر,yellow_split_peas,لپه به صورت متداول در آذرشهر تولید می شود و مهمترین تولید کننده های لپه به صورت سنتی در این شهر قرار دارند تا جاییکه حتی مردم عادی هم لپه آذرشهر را به  نشانه مرغوبیت محصول می شناسند. لپه طی فرآیند هایی از نخود باب لپه استحصال می شود . برعکس سایر حبوبات ریز بودن لپه یکی از نشانه های مرغوبیت محصول می باشد . بسته به اصالت نخود لپه دارای آفات متفاوتی می باشد . لپه هندی از سایز نسبتا ریزی برخوردار است و دارای پخت قابل قبولی بوده و معمولا رنگ آن زرد پررنگ بوده و  دارای طعم خوبی میباشد.,25 کیلویی,25,0,داخلی,ایران,برند معتبر,trusted_brand,222,"2,220,000","2,331,000",قیمت کیلویی,5,
30,عدس درشت روس لوکس,عدس درشت,عدس,lentils,عدس درشت روس لوکس بعد از فرایندهای انجام شده بر روی عدس به افت حداقلی رسیده است به صورتی که دانه های لکه دار و آبگز و شکسته و آفت خورده و پوسته و لپه و چروک در آن به حداقل رسیده است. همچنین با سرند درشت تری بوجار شده و به موجب آن دانه های درشت تری دارد.,25 کیلویی,25,1,خارجی,روسیه,کیسه سبز,green_bag,170,"1,700,000","1,785,000",قیمت کیلویی,5,
31,عدس درشت روس,عدس درشت,عدس,lentils,عدس درشت روس بیشترین سهم از بازار عدس ایران را دارد و با توجه به کیفیت آن قیمت های متفاوتی دارد. عدس درشت روس در کیفیت های متفاوت وارد ایران می شود نوع مرغوبتر آن رنگ سبز و هرچه به رنگ تیره تر و قهوه ای نزدیک می شود از کیفیت آن کاسته می شود. عمده آفت این نوع عدس آبگز یا شکسته می باشد و لعضا ضایعات خارجی در این نوع عدس نسبت به نمونه های کانادایی بیشتر است. یکی دیگر از نشانه هایی که موجب کاهش کیفیت عدس روس می شود وجود دانه های چروک می باشد. در مجموع با توجه به اختلاف قیمت آن با کانادایی و همچنین دارای کیفیت قابل قبول عدس روس بیشترین سهم را در بازار ایران به خود اختصاص می دهد.,25 کیلویی,25,0,خارجی,روسیه,کیسه سفید,white_bag,155,"1,550,000","1,627,500",قیمت کیلویی,5,
32,عدس درشت کانادا کراپ آخر 2024,عدس درشت,عدس,lentils,عدس درشت کانادا کراپ آخر 2024 در واقع به عنوان عدس پارساله کانادا شناخته می شود که بعضا با توجه به کیفیت و اصالت کالا از کیفیت مرغوبتری نسبت به عدس های امساله برخوردار هستند. عدس کانادا به صورت کلی دارای کیفیت بالایی نسبتن به عدس روس و قزاق بودهخ و پخت بهتری می دهند به همین جهت بعضا از عدس ها روس امساله هم اقبال بیشتری دارند. ,45 کیلویی,45,0,خارجی,کانادا,ساسکن,saskan,195,"1,950,000","2,047,500",قیمت کیلویی,5,
32,عدس درشت کانادا کراپ آخر 2024,عدس درشت,عدس,lentils,عدس درشت کانادا کراپ آخر 2024 در واقع به عنوان عدس پارساله کانادا شناخته می شود که بعضا با توجه به کیفیت و اصالت کالا از کیفیت مرغوبتری نسبت به عدس های امساله برخوردار هستند. عدس کانادا به صورت کلی دارای کیفیت بالایی نسبتن به عدس روس و قزاق بودهخ و پخت بهتری می دهند به همین جهت بعضا از عدس ها روس امساله هم اقبال بیشتری دارند. ,25 کیلویی,25,0,خارجی,کانادا,یایلا,yayla,180,"1,800,000","1,890,000",قیمت کیلویی,5,
34,عدس درشت کانادا کراپ  2025 لوکس,عدس درشت,عدس,lentils,عدس درشت کانادا کراپ آخر 2025 در واقع به عنوان عدس درشت امساله کانادا شناخته می شود که بعضا با توجه به کیفیت و اصالت کالا به عنوان عدس لوکس هم در بازار عرضه می گردد. عدس درشت کانادا به صورت کلی دارای کیفیت بالاتری نسبت به عدس روس و قزاق بوده و پخت بهتری می دهند. عدس کانادا به نسبت عدس روس دارای تنه ی قوی تر و درشت تری می باشد و رنگ سبز و یکنواتخت تری دارد. همچنین کمتر پیش میآید که عدس کانادا دچار چروکی و آبگز شده باشد. ,45 کیلویی,45,1,خارجی,کانادا,ویکتوریا,victoria,202,"2,020,000","2,121,000",قیمت کیلویی,5,
35,عدس ریز کانادا کراپ  2025 لوکس,عدس ریز,عدس,lentils,عدس ریز کانادا کراپ آخر 2025 در واقع به عنوان عدس ریز امساله کانادا شناخته می شود که بعضا با توجه به کیفیت و اصالت کالا به عنوان عدس ریز لوکس هم در بازار عرضه می گردد. عدس ریز کانادا به صورت کلی دارای کیفیت بالاتری نسبت به عدس ریز روس و قزاق بوده و پخت بهتری می دهند به همین جهت به نسبت از عدس های روس هم دارای اقبال بیشتری از جانب مصرف کنندگان هستند. عدس کانادا به نسبت عدس روس دارای تنه ی قوی تر و درشت تری می باشد و رنگ سبز و یکنواتخت تری دارد. همچنین کمتر پیش میآید که عدس کانادا دچار چروکی و آبگز شده باشد. ,45 کیلویی,45,1,خارجی,کانادا,ویکتوریا,victoria,206,"2,060,000","2,163,000",قیمت کیلویی,5,
40,ماش افغان ,ماش,ماش,mung_beans,ماش افغان روز به روز بیشتر مورد توجه قرار می گیرد و اصلاح نژادی که انجام می شود به کیفیت قابل قبولی رسیده است . عمدتا ماش افغان از مرز دوقارون وارد می شود و رنگ و روی روشنی دارد در ضمن ممکن است با ضایعات خارجی همراه باشد . پیش از این ماش افغان کمی دیرپز بود اما رفته رفته این عیب برطرف شده و پخت بهتری نسبت به گذشته دارد.,50 کیلویی,50,0,خارچی,اففانستان,برند معتبر,trusted_brand,240,"2,400,000","2,520,000",قیمت کیلویی,5,
41,ماش افغان لوکس,ماش,ماش,mung_beans,ماش افغان لوکس ماش افغانی است که پس از فرایندهای بوجاری پاک شده و تمیز شده و انواع ضایعات خارجی مانند سنگ و چوب و کلوخ به حداقل رسیده و ضایعات مانند آفت خورده  و دونه رنگی به ندرات در آن پیدا می شود,50 کیلویی,50,0,خارچی,اففانستان,گوهر پاک,gohar_e_pak,252,"2,520,000","2,646,000",قیمت کیلویی,5,
28,لپه متوسط روس,لپه,لپه آذر شهر,yellow_split_peas,لپه متوسط روسی از نخود فلافلی روس سایز 5و6و7 به عمل می آید و معمولا به نسبت لپه های ایرانی و هندی پخت دیرتری دارد اما با توجه به قیمت به صرفه ترآن کاملا مناسب و مشتری پسند می باشد. عمدتا ضایعات لپه هندی پوسته چسبیده و لکه دار می باشد و بالطبع هرچه این موارد کمتر باشد لپه مرغوبتری خواهد بود.,25 کیلویی,25,0,خارجی,روسیه,برند معتبر,trusted_brand,175,"1,750,000","1,837,500",قیمت کیلویی,5,
13,لوبیا قرمز قرقیزستان,لوبیا قرمز,لوبیا قرمز ,red_kidney_beans,عمده لوبیا قرمز وارداتی از کشور قرقیزستان وارد می شود و دارای کیفیت کاملا قابل قبولی و نزدیک به نمونه های ایرانی می باشد اما به هر حال با توجه به کیفیت به طور معمول نسبتا قیمت کمتری از لوبیا قرمز ایرانی دارد. این لوبیا به صورت پاک شده و فراید شده و پولیش شده وارد می شود و دارای کیفیت خوبی بوده است. ,25 کیلویی,25,0,خارجی,قرقیزستان,کیسه شیشه ایی,clear_plastic_bag,235,"2,350,000","2,467,500",قیمت کیلویی,5,
6,لوبیا چیتی ازبکستان,لوبیا چیتی,لوبیا چیتی ,pinto_beans,لوبیا چیتی علاوه بر تولیدات داخل برای تامین نیاز بازار کشور نیاز به واردات این محصول هم هست که از بین محصولات وارداتی لوبیا چیتی ازبکستان از مرغوبترین نمونه های بازار می باشد. این لوبیا عموما ظاهری کشیده داشته و رنگی به نسبت تیره تر از نمونه های ایرانی دارد اما در مقایسه با نمونه ای وارداتی از سایر کشور رنگ و روی روشنتری دارد . همچنین به تازگی لوبیا چیتی ازبک به صورت گرد و طرح ایرانی هم تولید و وارد می شود که با توجه به مشابهت به نمونه های ایرانی امورد استقبال هم قرار گرفته شده است. ,25 کیلویی,25,0,خارجی ,ازبکستان,کیسه شیشه ایی,clear_plastic_bag,300,"3,000,000","3,150,000",قیمت کیلویی,5,
36,عدس درشت کانادا ساسکن کراپ 2025,عدس درشت,عدس,lentils,عدس ساسکن مرغوبترین و با کیفیت ترین برند شناخته شده در بازار می باشد . این عدس از تنه درشت و عمدتا بالای سرند 5و6 و همچنین رنگ روی یکنواخت و کاملا تمیز و پاک شده و بدون آفت می باشد. پخت این عدس بسیار عالی بوده و معمولا بالاترین قیمت عدس هم مربوط به این برند می باشد.,45 کیلویی,45,0,خارجی,کانادا,ساسکن,saskan,203,"2,030,000","2,131,500",قیمت کیلویی,5,
26,نخود فلافلی ایرانی بار لوکس,نخود,نخود فلافلی,falafel_chickpeas,نخود فلافلی ایرانی از جمله بارهای لوکس می باشد و از استحصال نخود های ایرانی و گرفتن سایز های ریزتر نخود های ایرانی می باشد . محصولات نخود فلافلی اسلام آباد کاملا مناسب برای تولید لپه ایرانی می باشد و مرغوب ترین لپه از این محصول تولید می شود.,30 کیلویی,30,1,داخلی,ایران,گوهر پاک,gohar_e_pak,150,"1,500,000","1,575,000",قیمت کیلویی,5,
42,دال عدس ,دال عدس,دال عدس ,split_red_lentils," دال عدس از خانواده عدس ها می باشد و ارزش غذایی بالایی دارد و معمولا با توجه به خصوصیاتش از جمله حبوبات زودپز می باشد.  دال عدس رنگ قرمز رنگی دارد و دانه های آن به صورت لپه شدگی از عدس قرمز استحصال می شود. دال عدس دارای  مقدار زیادی فسفر، کلسیم، و آمینو اسید ها می باشد. و همچنین دارای منابعی سرشار از   ویتامین های    A,B  می باشد. علاوه بر این سرشار از پروتئین می باشد که پروتئین مورد نیاز بدن را تامین می کند و جایگزین به صرفه ای برای گوشت می باشد و آهن موجود درآن برای درمان فقر آهن مناسب است.",-,,0,خارجی,کانادا,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
25,نخود فلافلی روس,نخود,نخود فلافلی,falafel_chickpeas,نخود فلافلی روس نخود با رنگ روشن می باشد و عمدتا سایز 5و6 دارد که هم مناسب فلافل و هم مناسب لپه می باشد. ,-,,0,خارجی,روسیه,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
23,نخود 7/8 ترک,نخود,نخود,chickpeas ,"نخود 7 و 8 ترک در دسته نخود های سه خان قرار دارد و با توجه به کیفیت نخود ترک که از نظر کیفی نزدیک نخود کرمانشاه ایرانی هست  بازار خوبی در ایران دارد. با توجه به فرآیند های این محصول ، یک محصول با کیفیت و مرغوب برای مصرف خانوار می باشد.",-,,0,خارجی,ترکیه,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
43,لوبیا کرم,لوبیا کرم,لوبیا کرم,cream_beans,"لوبیا کرم  یکی از محصولات باکیفیت و محبوب در دسته لوبیاها است که به خاطر طعم ملایم، بافت نرم و خواص تغذیه‌ای فوق‌العاده، جایگاه ویژه‌ای در آشپزخانه‌های ایرانی و بین‌المللی پیدا کرده است. این لوبیا با نام های مختلفی شناخته می شود که یک نمونه آن لوبیا کشاورزی است. همچنین به دلیل مصرف بسیار زیاد این لوبیا در استان گیلان به لوبیا رشتی هم معروف است. این لوبیا سرشار از آمینو اسید و پروتئیتن است و می تواند جایگزین و مکمل خوبی برای رژیم های بدون گوشت باشد. لوبیا کرم یا کشاورزی از  25 درصد پروتئین ، 65 درصد قند (کربوهیدرات) از نوع نشاسته‌ و 3 درصد مواد چربی تشکیل شده و یکی از مقوی‌ترین حبوبات روی زمین به شمار می‌رود و چون مواد پروتئینی آن نسبتاً زیاد است،  جایگزین مناسبی برای انواع گوشت می تواند باشد تا حدی که کسانی که دچار بیماری نقرس هستند باید از مصرف زیاد این محصول خودداری کنند .",-,,0,داخلی,ایران,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
44,لوبیا چیتی عروس,لوبیا چیتی,لوبیا چیتی عروس,bride_pinto_beans,"لوبیا عروس در خانواده لوبیاها قرار می گیرد و ظاهر آن با رنگ قرمز و زرشکی به همراه رگه های سفید و کرم می باشد و همچنین ظاهر آن پهن و بزرگ می باشد و به لحاظ ظاهری بیشتر از اینکه به لوبیا ها شبیه باشد به باقالی شبیه تر است. همچنین نام دیگر آن لیما کریسمس می باشد.  لوبیای عروس سرشار از تیامین، ویتامین B6، فولات، آهن، پتاسیم، منیزیم، منگنز، مس، مولیبدن، فیبر و پروتئین است. همچنین لوبیا چیتی عروس سرشار از فیبر میباشد که به موجب آن برای کاهش کلسترول بسیار مفید است.
همچنین منبع مفیدی برای تامین آهن و منیزم بدن می باشد و برای زنان باردار وو کودکان بسیار مفید است. پخته آنرا می توان در انواع سالاد و غذاهای پلویی استفاده نمود و همچنین با توجه به ظاهر جذاب و زیبای آن برای دورچین غذاها نیز به کار می رود. ",-,,0,داخلی,ایران,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
38,ماش ونزوئلا,ماش,ماش,mung_beans,"ماش ونزوئلا مرغوبترین ماش موجود در بازرا ایران می باشد که علاوه بر رنگ و ظاهر خوب پخت بهتری نسبت به بقیه نمونه ها می دهد. در مورد ماش علاوه بر بررسی آفت زدگی و پخت باید به دانه های نپز هم توجه کرد که اصطلاحا به آن دونه سنگی گفته می شود یعنی بعد از تست پخت و پختن دانه های ماش، ممکن است بعضی از دانه های ماش سفت و نپز باشند . هرچه این دانه ها بیشتر باشد از مرغوبیت ماش کاسته می شود.",-,,0,خارجی,ونزوئلا,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
